SaleID,SaleDate,CustomerID,ProductID,SalesRepID,Quantity,UnitPrice,Discount,TotalAmount,PaymentMethod
1,2025-12-01,CUS304,PRO030,SR010,1,424398.00,12.57,371051.17,Cash
2,2025-08-29,CUS019,PRO020,SR012,3,485778.00,10.22,1308394.47,Cash
3,2025-01-19,CUS185,PRO075,SR014,1,1072974.00,13.32,930053.86,"Bank Transfer"
4,2025-06-04,CUS450,PRO022,SR015,3,620784.00,11.60,1646319.17,"Mobile Money"
5,2025-05-03,CUS007,PRO119,SR008,5,312835.00,9.72,1412137.19,"Bank Transfer"
6,2025-02-24,CUS276,PRO019,SR012,4,719759.00,3.79,2769920.54,"Mobile Money"
7,2025-07-18,CUS304,PRO087,SR018,1,600909.00,2.41,586427.09,Cash
8,2025-08-30,CUS127,PRO013,SR012,2,877916.00,1.61,1727563.10,"Mobile Money"
9,2025-06-13,CUS490,PRO014,SR017,5,861349.00,0.92,4267122.95,Cash
10,2025-07-27,CUS163,PRO109,SR013,3,396148.00,8.68,1085287.06,Cash
11,2025-03-10,CUS138,PRO120,SR015,2,276254.00,14.74,471068.32,"Mobile Money"
12,2025-09-19,CUS110,PRO040,SR012,4,488127.00,10.61,1745346.90,Card
13,2025-02-17,CUS393,PRO106,SR005,2,60666.00,0.26,121016.54,"Bank Transfer"
14,2025-11-05,CUS297,PRO061,SR015,3,9550.00,1.81,28131.44,"Mobile Money"
15,2025-11-22,CUS405,PRO067,SR008,1,70839.00,13.12,61544.92,"Mobile Money"
16,2025-03-04,CUS498,PRO109,SR009,5,396148.00,5.13,1879128.04,"Mobile Money"
17,2025-12-08,CUS221,PRO083,SR009,1,186604.00,0.58,185521.70,"Bank Transfer"
18,2025-06-21,CUS166,PRO115,SR011,2,224924.00,7.96,414040.10,"Mobile Money"
19,2025-04-30,CUS300,PRO072,SR013,5,352298.00,0.30,1756205.53,"Bank Transfer"
20,2025-07-08,CUS320,PRO030,SR010,2,424398.00,13.49,734293.42,"Mobile Money"
21,2025-08-25,CUS313,PRO034,SR001,5,183211.00,0.81,908634.95,Cash
22,2025-07-13,CUS114,PRO038,SR014,5,323307.00,9.07,1469915.28,"Mobile Money"
23,2025-04-18,CUS380,PRO086,SR009,5,765282.00,3.04,3710087.14,"Mobile Money"
24,2025-12-16,CUS232,PRO031,SR009,3,467119.00,6.55,1309568.12,Card
25,2025-09-07,CUS055,PRO061,SR010,2,9550.00,11.49,16905.41,Cash
26,2025-08-16,CUS330,PRO008,SR013,1,706571.00,6.10,663470.17,"Mobile Money"
27,2025-08-18,CUS285,PRO117,SR010,5,104211.00,0.11,520481.84,Cash
28,2025-06-28,CUS306,PRO051,SR002,1,25389.00,8.22,23302.02,"Mobile Money"
29,2025-09-01,CUS432,PRO072,SR005,4,352298.00,1.92,1382135.51,"Mobile Money"
30,2025-02-27,CUS131,PRO036,SR018,1,453702.00,0.75,450299.24,"Bank Transfer"
31,2025-04-10,CUS333,PRO108,SR015,2,37237.00,3.68,71733.36,"Bank Transfer"
32,2025-08-29,CUS076,PRO112,SR007,5,659865.00,13.76,2845337.88,"Bank Transfer"
33,2025-03-06,CUS002,PRO073,SR004,3,735246.00,2.36,2153682.58,Card
34,2025-10-05,CUS096,PRO004,SR020,3,787697.00,6.83,2201691.88,Card
35,2025-12-16,CUS368,PRO069,SR004,4,51744.00,2.36,202091.37,Card
36,2025-09-14,CUS245,PRO072,SR016,3,352298.00,6.61,987033.31,Cash
37,2025-02-05,CUS367,PRO105,SR010,2,88497.00,5.57,167135.43,Card
38,2025-11-28,CUS180,PRO107,SR014,4,54346.00,3.50,209775.56,"Mobile Money"
39,2025-01-23,CUS381,PRO112,SR020,4,659865.00,6.36,2471590.34,Cash
40,2025-01-21,CUS177,PRO021,SR006,5,808631.00,11.05,3596386.37,Cash
41,2025-10-31,CUS082,PRO005,SR018,4,441778.00,6.42,1653663.41,"Mobile Money"
42,2025-03-18,CUS416,PRO069,SR020,3,51744.00,8.90,141416.35,Card
43,2025-10-09,CUS442,PRO003,SR012,4,323168.00,1.85,1268757.57,Card
44,2025-12-04,CUS344,PRO116,SR005,3,125303.00,10.40,336814.46,"Bank Transfer"
45,2025-11-20,CUS443,PRO071,SR006,3,984868.00,12.79,2576710.15,"Mobile Money"
46,2025-03-24,CUS409,PRO012,SR019,1,970378.00,14.45,830158.38,Cash
47,2025-09-03,CUS095,PRO001,SR008,4,769936.00,8.35,2822585.38,"Bank Transfer"
48,2025-07-27,CUS413,PRO060,SR001,5,43460.00,12.96,189137.92,Cash
49,2025-06-22,CUS097,PRO096,SR011,2,501784.00,13.73,865778.11,"Bank Transfer"
50,2025-07-12,CUS258,PRO090,SR002,4,79687.00,10.57,285056.34,"Bank Transfer"
