ProductID,ProductName,ProductType,Category,Brand,CostPrice,SellingPrice,ProfitMargin,Stock,ReorderLevel,WarrantyMonths,LaunchYear,Status,SupplierID
PRO001,HP Pavilion 15,Laptop,Computing,HP,648786,769936,18.67,18,5,24,2023,Active,SUP010
PRO002,Acer Pavilion 15,Laptop,Computing,Acer,569588,657741,15.48,23,5,24,2022,Active,SUP003
PRO003,Acer Aspire 5,Laptop,Computing,Acer,273912,323168,17.98,27,6,24,2025,Active,SUP003
PRO004,Acer ThinkPad E14,Laptop,Computing,Acer,684374,787697,15.1,37,9,24,2023,Active,SUP003
PRO005,Lenovo ThinkPad E14,Laptop,Computing,Lenovo,341516,441778,29.36,16,5,24,2024,Active,SUP001
PRO006,ASUS Pavilion 15,Laptop,Computing,ASUS,448208,538563,20.16,37,9,24,2024,Active,SUP003
PRO007,ASUS Aspire 5,Laptop,Computing,ASUS,325444,392739,20.68,39,9,24,2024,Active,SUP003
PRO008,Acer ThinkPad E14,Laptop,Computing,Acer,562698,706571,25.57,16,5,24,2022,Active,SUP003
PRO009,Lenovo Pavilion 15,Laptop,Computing,Lenovo,708432,906773,28.0,17,5,24,2025,Active,SUP001
PRO010,Lenovo Inspiron 3520,Laptop,Computing,Lenovo,454081,536463,18.14,21,5,24,2024,Active,SUP001
PRO011,HP Aspire 5,Laptop,Computing,HP,592911,729352,23.01,15,5,24,2023,Active,SUP010
PRO012,ASUS ThinkPad E14,Laptop,Computing,ASUS,778795,970378,24.6,39,9,24,2023,Active,SUP003
PRO013,HP Inspiron 3520,Laptop,Computing,HP,690861,877916,27.08,11,5,24,2025,Active,SUP010
PRO014,Dell Aspire 5,Laptop,Computing,Dell,719469,861349,19.72,32,8,24,2025,Active,SUP001
PRO015,ASUS Inspiron 3520,Laptop,Computing,ASUS,398873,473459,18.7,14,5,24,2024,Active,SUP003
PRO016,ASUS Aspire 5,Laptop,Computing,ASUS,469400,555252,18.29,21,5,24,2023,Active,SUP003
PRO017,HP Pavilion 15,Laptop,Computing,HP,711465,834495,17.29,13,5,24,2023,Active,SUP010
PRO018,ASUS Aspire 5,Laptop,Computing,ASUS,293306,354091,20.72,22,5,24,2025,Active,SUP003
PRO019,Acer Pavilion 15,Laptop,Computing,Acer,616664,719759,16.72,33,8,24,2024,Active,SUP003
PRO020,Lenovo Pavilion 15,Laptop,Computing,Lenovo,413878,485778,17.37,23,5,24,2022,Discontinued,SUP001
PRO021,Lenovo Aspire 5,Laptop,Computing,Lenovo,659487,808631,22.62,15,5,24,2022,Active,SUP001
PRO022,Lenovo EliteBook 840,Laptop,Computing,Lenovo,526161,620784,17.98,29,7,24,2024,Active,SUP001
PRO023,Acer Aspire 5,Laptop,Computing,Acer,741555,919410,23.98,10,5,24,2025,Active,SUP003
PRO024,Lenovo ThinkPad E14,Laptop,Computing,Lenovo,385541,457302,18.61,11,5,24,2022,Active,SUP001
